,Artist,Streams,,,,,,,
,Drake,"42,265,767,620","16,462,425,900",248,4,111,241,244,10/26/21
,Ed Sheeran,"31,426,952,150","2,310,237,214",192,7,56,145,171,10/27/21
,Ariana Grande,"27,564,005,796","1,777,199,586",179,4,63,123,171,10/26/21
,Bad Bunny,"26,696,040,201","5,991,965,057",137,2,75,130,136,10/26/21
,The Weeknd,"26,403,922,382","3,303,593,345",147,6,59,124,139,10/26/21
,Justin Bieber,"25,872,419,764","7,951,452,839",218,4,52,162,190,10/27/21
,Post Malone,"25,642,273,280","2,285,975,833",66,8,52,64,65,10/26/21
,Eminem,"25,165,637,313","3,554,441,791",276,2,56,218,256,10/27/21
,Taylor Swift,"22,410,853,352","316,325,299",287,1,67,211,277,10/27/21
,J Balvin,"21,992,501,064","8,865,944,574",226,2,60,130,210,10/26/21
,BTS,"21,157,425,607","153,755,949",250,1,81,191,249,10/27/21
,Kanye West,"19,919,029,408","4,796,938,811",227,0,51,185,208,10/27/21
,Billie Eilish,"19,020,820,204",0,62,3,40,57,61,10/26/21
,Ozuna,"18,454,197,218","6,733,426,562",204,1,46,143,186,10/26/21
,Khalid,"18,394,072,472","2,607,507,939",95,6,36,83,93,10/25/21
,XXXTENTACION,"18,179,787,604","2,277,456,801",130,5,37,100,116,10/27/21
,Juice WRLD,"18,043,747,852","2,696,017,549",96,1,52,94,95,10/26/21
,Coldplay,"17,965,017,215",0,292,2,30,159,269,10/25/21
,Rihanna,"17,599,257,431","7,142,829,206",272,1,43,106,197,10/27/21
,Travis Scott,"17,570,800,455","8,217,127,212",110,3,42,88,103,10/27/21
,Imagine Dragons,"17,378,341,711","56,734,220",144,4,32,96,124,10/22/21
,Dua Lipa,"17,066,121,620","281,541,150",191,5,31,74,155,10/27/21
,Maroon 5,"16,991,017,591","16,548",238,3,28,100,192,10/26/21
,Shawn Mendes,"16,327,603,811","103,734,604",123,4,28,92,117,10/26/21
,David Guetta,"15,775,583,951","1,014,888,735",635,1,40,126,349,10/20/21
,Calvin Harris,"15,605,214,486","382,074,757",217,2,28,81,172,10/26/21
,Daddy Yankee,"15,143,793,520","4,712,083,614",344,3,38,85,198,10/26/21
,Sam Smith,"14,581,741,572","19,126,342",138,3,29,77,125,10/27/21
,Bruno Mars,"14,489,532,187","3,312,168,682",71,4,28,52,66,10/26/21
,Queen,"13,986,777,251","28,246,314",558,3,23,87,394,10/27/21
,Kendrick Lamar,"13,947,078,579","7,517,310,754",102,1,30,90,96,10/26/21
,The Chainsmokers,"13,937,995,313","370,971,846",173,3,23,72,148,10/20/21
,Beyoncé,"13,065,520,182","1,836,227,079",339,1,30,149,244,10/27/21
,Chris Brown,"13,037,977,598","6,980,679,955",392,0,35,182,320,10/26/21
,One Direction,"12,945,221,857","909,574",124,0,38,99,116,10/23/21
,Future,"12,909,204,408","7,687,676,233",456,1,25,197,332,10/14/21
,Sia,"12,843,164,762","2,761,327,001",312,3,26,103,222,10/26/21
,Nicki Minaj,"12,809,731,664","9,906,149,817",160,1,31,112,153,10/26/21
,Lady Gaga,"12,449,838,863","82,847,387",305,1,26,103,182,10/27/21
,Halsey,"12,389,975,773","2,088,268,437",152,3,23,84,124,10/26/21
,Selena Gomez,"12,325,147,769","1,855,281,103",134,3,22,76,120,10/27/21
,J. Cole,"12,145,264,081","2,756,317,182",150,1,32,106,133,10/26/21
,Anuel AA,"11,627,785,114","3,965,220,194",135,0,29,107,127,10/26/21
,The Beatles,"11,552,397,220",0,780,0,28,169,413,10/26/21
,Maluma,"11,500,623,196","5,176,114,737",179,0,31,115,171,10/26/21
,Twenty One Pilots,"11,447,565,488",0,83,3,32,72,82,10/26/21
,Kygo,"11,195,604,536","1,037,463,874",100,1,27,82,99,10/19/21
,Marshmello,"11,082,528,797","482,822,182",140,4,17,83,130,10/11/21
,Linkin Park,"10,996,894,270","43,644,400",348,1,26,105,275,10/27/21
,Avicii,"10,992,283,976","475,842,251",249,1,17,86,157,10/20/21
,Lil Uzi Vert,"10,854,567,333","5,190,507,725",127,1,28,112,126,10/19/21
,Katy Perry,"10,603,401,568","1,054,717,536",180,0,28,80,138,10/08/21
,Adele,"10,166,812,782","28,337,409",59,2,22,46,58,10/26/21
,Camila Cabello,"9,923,357,371","1,976,655,248",54,2,23,40,49,10/26/21
,Farruko,"9,809,443,824","5,738,806,758",329,0,28,110,256,10/19/21
,Lana Del Rey,"9,758,916,409","609,707,496",159,0,25,104,146,10/27/21
,Jason Derulo,"9,727,041,153","577,909,393",189,0,25,63,128,10/14/21
,Red Hot Chili Peppers,"9,121,142,832","3,104,398",246,0,15,110,199,10/26/21
,Nicky Jam,"9,110,416,354","7,985,255,132",229,0,27,87,146,10/20/21
,Shakira,"8,813,536,350","990,765,949",228,0,21,83,191,10/27/21
,Arctic Monkeys,"8,796,853,542","2,212,612",133,1,16,85,133,10/26/21
,Demi Lovato,"8,701,594,978","1,225,188,619",214,0,20,75,168,10/27/21
,Martin Garrix,"8,295,382,362","77,399,606",180,1,16,76,144,09/06/21
,G-Eazy,"8,163,368,106","2,149,396,973",224,0,15,110,198,10/14/21
,Miley Cyrus,"8,152,244,686","587,148,484",175,0,14,82,153,10/26/21
,Major Lazer,"8,138,417,855","556,343,421",259,3,14,64,169,10/17/21
,OneRepublic,"8,132,963,704","199,707,696",142,1,24,70,125,10/26/21
,Michael Jackson,"8,115,270,851","497,930,262",339,0,21,88,233,10/27/21
,Panic! At The Disco,"8,101,877,704","594,932,498",136,1,20,79,128,10/15/21
,Rauw Alejandro,"8,085,933,637","1,420,644,512",162,0,25,83,126,10/26/21
,Pitbull,"7,962,726,776","2,322,288,434",385,0,20,80,206,10/08/21
,Ellie Goulding,"7,890,379,435","624,183,397",165,1,16,67,131,10/26/21
,Harry Styles,"7,880,935,957",0,25,1,22,24,24,10/27/21
,Cardi B,"7,853,558,897","5,618,764,888",65,1,16,48,62,10/26/21
,Charlie Puth,"7,803,121,924","201,236,975",97,3,11,52,84,10/26/21
,KAROL G,"7,792,415,901","473,813,673",77,1,22,52,73,10/27/21
,Lil Wayne,"7,707,133,991","12,104,409,604",465,0,18,108,295,10/22/21
,Wiz Khalifa,"7,686,313,302","5,907,761,859",391,1,19,103,284,10/22/21
,Sebastian Yatra,"7,669,685,705","1,538,456,140",99,0,26,71,91,09/17/21
,DaBaby,"7,539,742,319","3,923,121,358",130,2,14,74,116,10/26/21
,Young Thug,"7,469,230,961","7,873,778,787",351,0,17,118,214,10/26/21
,Logic,"7,397,161,521","1,731,062,142",163,1,13,120,161,10/14/21
,Migos,"7,394,547,322","3,120,060,669",278,0,15,80,180,10/26/21
,Alan Walker,"7,354,379,758","1,616,399,695",136,1,16,60,106,10/15/21
,Fall Out Boy,"7,314,691,965","35,304,467",191,0,15,92,164,09/20/21
,21 Savage,"7,288,664,520","4,617,819,356",151,0,17,80,121,10/14/21
,Diplo,"7,275,258,857","1,460,536,064",354,0,21,80,191,09/04/21
,Tyga,"7,256,815,235","3,382,667,833",294,1,19,97,249,09/04/21
,John Mayer,"7,228,614,149","452,082,748",196,0,15,113,171,10/26/21
,Metallica,"7,209,730,252","2,914,807",809,0,13,97,266,10/24/21
,Lil Baby,"7,160,254,381","6,462,342,461",164,0,16,104,152,10/26/21
,Sech,"7,135,011,726","2,332,284,915",114,0,21,60,100,10/02/21
,Macklemore,"7,067,430,446","78,759,240",100,1,13,58,92,10/19/21
,P!nk,"7,057,862,619","521,685,684",236,0,20,78,158,10/26/21
,ZAYN,"7,036,958,669","222,996,833",85,2,14,63,84,10/27/21
,DJ Snake,"7,000,580,472","1,823,325,367",139,2,10,48,97,10/21/21
,Mac Miller,"6,993,863,353","579,388,672",207,0,16,112,188,10/21/21
,Lauv,"6,946,540,968","118,304,223",95,1,20,60,89,10/26/21
,Doja Cat,"6,930,130,213","1,241,026,052",79,0,18,56,71,10/27/21
,Pop Smoke,"6,929,061,751","687,915,177",97,0,16,78,96,10/27/21
,Zedd,"6,821,665,000","904,487,124",136,1,13,36,94,09/04/21
,Little Mix,"6,784,559,361","7,487,191",203,0,17,96,150,10/27/21
,AC/DC,"6,772,744,388",0,309,0,10,75,237,10/26/21
,Lil Peep,"6,760,560,850","270,363,730",92,0,17,80,92,10/27/21
,James Arthur,"6,758,910,383","65,832,362",122,1,13,52,106,10/10/21
,Myke Towers,"6,712,142,601","3,462,900,656",154,0,21,83,143,10/18/21
,5 Seconds of Summer,"6,520,228,093","473,348,202",158,1,12,89,155,10/25/21
,Trippie Redd,"6,519,856,675","2,500,444,366",184,0,20,113,170,10/25/21
,A$AP Rocky,"6,509,080,462","4,538,551,942",79,0,16,67,73,10/25/21
,A Boogie Wit da Hoodie,"6,507,153,143","2,655,408,268",119,0,15,95,118,10/27/21
,Kodak Black,"6,476,700,855","1,513,664,246",209,0,13,78,189,10/11/21
,Robin Schulz,"6,455,681,610","297,810,977",207,0,14,47,136,09/27/21
,NF,"6,349,101,124","118,422,041",81,1,14,81,81,10/20/21
,Justin Timberlake,"6,321,890,671","1,828,982,910",167,1,13,64,110,10/26/21
,Green Day,"6,233,126,460","438,373",357,0,12,75,293,10/24/21
,DJ Khaled,"6,226,921,541","174,180,481",165,1,12,55,120,10/14/21
,Frank Ocean,"6,203,684,203","1,970,067,254",45,0,20,45,45,10/23/21
,Zara Larsson,"6,175,774,645","474,795,155",83,2,12,42,77,10/23/21
,Romeo Santos,"6,145,602,110","986,293,143",107,0,18,74,100,09/09/21
,Metro Boomin,"6,141,985,883","186,001,242",118,0,14,72,92,09/20/21
,Clean Bandit,"6,134,437,801","22,410,137",147,2,9,35,111,09/23/21
,Bob Marley & The Wailers,"6,118,075,117","45,406,095",521,0,12,71,302,10/18/21
,Anne-Marie,"6,041,772,289","730,791,311",128,3,9,40,91,10/24/21
,Lil Nas X,"5,982,975,706","63,952,176",33,2,9,29,32,10/26/21
,Bebe Rexha,"5,953,231,712","3,553,166,331",110,2,12,51,89,10/26/21
,Tiësto,"5,939,391,588","1,054,455,192",600,0,13,73,278,10/17/21
,Enrique Iglesias,"5,928,105,876","310,418,709",278,0,13,68,172,10/20/21
,Lewis Capaldi,"5,912,732,113",0,49,2,9,28,42,10/22/21
,Elton John,"5,863,334,503","284,606,505",884,0,14,52,231,10/25/21
,Gunna,"5,854,152,412","3,702,728,047",154,0,9,88,141,10/21/21
,Luis Miguel,"5,843,409,566","1,119,450",312,0,12,108,264,10/26/21
,YoungBoy Never Broke Again,"5,811,336,423","973,880,130",314,0,6,148,291,10/24/21
,Pink Floyd,"5,801,524,186",0,432,0,11,92,256,10/18/21
,Black Eyed Peas,"5,778,665,375","65,627,266",208,0,13,41,122,10/26/21
,Luis Fonsi,"5,771,896,198","367,170,318",171,2,9,36,114,10/26/21
,BLACKPINK,"5,722,086,720","458,700,220",99,0,16,43,99,10/14/21
,blackbear,"5,721,416,033","1,209,608,993",156,0,8,93,136,08/18/21
,The Rolling Stones,"5,690,441,037","5,721,089","1,024",0,12,61,349,10/26/21
,Nirvana,"5,684,957,403","860,892",294,1,11,55,230,10/23/21
,Ty Dolla $ign,"5,651,128,814","9,189,211,823",180,0,14,72,150,10/09/21
,Flo Rida,"5,646,199,592","1,471,338,945",219,0,11,41,93,09/04/21
,JAY-Z,"5,569,179,401","4,712,212,487",303,0,10,70,228,10/26/21
,"Tyler, The Creator","5,559,951,579","1,086,907,482",153,0,14,90,109,10/27/21
,Fleetwood Mac,"5,545,213,336","503,756",766,0,10,42,225,10/24/21
,Michael Bublé,"5,526,815,306","266,489,211",220,0,15,84,180,10/12/21
,Olivia Rodrigo,"5,482,470,364","1,476,670",37,2,12,21,33,10/27/21
,Russ,"5,469,982,037","104,807,917",337,0,12,100,229,10/17/21
,Jonas Blue,"5,467,927,650","96,251,650",138,0,9,32,87,05/25/21
,Guns N' Roses,"5,446,373,969",0,134,1,10,44,105,10/25/21
,Machine Gun Kelly,"5,433,785,310","790,767,059",114,0,10,86,105,10/22/21
,Britney Spears,"5,410,161,329","519,923,710",290,0,13,55,171,10/27/21
,Bastille,"5,401,601,553","141,654,659",177,1,10,68,138,10/17/21
,Childish Gambino,"5,392,352,733","537,895,081",85,1,11,62,82,10/24/21
,SZA,"5,381,548,562","2,047,603,804",39,0,15,32,38,10/26/21
,Skrillex,"5,242,396,447","1,517,779,451",145,0,12,69,130,10/18/21
,Big Sean,"5,229,675,922","5,056,946,074",145,0,14,66,121,07/11/21
,Alessia Cara,"5,187,238,528","1,486,533,589",130,0,8,38,75,10/21/21
,$uicideboy$,"5,187,002,903","187,078,218",299,0,7,111,296,10/24/21
,Anitta,"5,174,047,289","1,129,048,664",150,0,18,75,137,10/27/21
,2Pac,"5,164,018,839","283,806,241",325,0,14,70,236,10/26/21
,Lorde,"5,108,826,446","264,858,796",53,0,17,37,49,10/26/21
,Usher,"5,087,009,423","2,813,193,125",251,0,15,51,162,10/21/21
,Reik,"5,079,388,879","246,613,573",160,0,13,65,135,08/10/21
,Kid Cudi,"5,056,253,816","1,109,920,856",140,0,10,80,136,10/22/21
,David Bowie,"5,030,024,568","28,413,224","1,196",0,11,58,288,10/21/21
,Camilo,"5,024,372,492","695,049,579",37,0,17,33,34,10/26/21
,Gorillaz,"5,016,117,891","1,215,496",279,0,7,89,193,10/26/21
,50 Cent,"5,014,099,658","2,222,183,543",213,0,12,56,141,10/26/21
,Hozier,"4,966,750,329","5,256,898",61,1,13,40,60,10/23/21
,Becky G,"4,913,027,392","1,195,056,750",88,0,11,48,86,10/25/21
,French Montana,"4,873,054,883","3,046,541,784",555,1,11,50,128,05/26/21
,The Killers,"4,872,558,331","281,441",206,1,8,66,136,10/26/21
,Foo Fighters,"4,835,794,046","1,893,648",236,0,11,73,160,10/24/21
,Meek Mill,"4,813,205,731","1,803,089,245",438,0,7,86,188,10/26/21
,blink-182,"4,800,127,857","52,106,914",185,0,10,83,172,10/23/21
,Tory Lanez,"4,792,221,603","2,099,200,775",216,0,13,76,183,09/24/21
,Mariah Carey,"4,784,080,232","324,017,908",632,0,10,63,227,10/26/21
,Banda MS de Sergio Lizárraga,"4,767,048,535","1,067,799",208,0,13,86,185,07/29/21
,John Legend,"4,730,118,734","2,185,090,347",243,1,6,60,182,10/26/21
,U2,"4,728,586,773","258,604,699",500,0,7,74,293,10/26/21
,Meghan Trainor,"4,690,571,692","922,554,589",135,0,10,52,102,10/25/21
,Daft Punk,"4,682,411,741","2,903,060,511",181,0,9,74,134,10/05/21
,Led Zeppelin,"4,679,053,022","97,528",239,0,11,62,186,10/25/21
,Rae Sremmurd,"4,667,478,950","505,975,065",60,0,12,41,59,10/06/21
,Rita Ora,"4,643,126,458","659,646,235",125,0,12,37,81,10/26/21
,6ix9ine,"4,634,144,273","1,014,662,616",58,0,16,36,53,10/24/21
,The 1975,"4,595,551,924","136,572,865",132,0,10,75,129,10/24/21
,Gucci Mane,"4,585,783,915","4,640,030,214","2,175",0,5,74,292,09/17/21
,Mumford & Sons,"4,581,748,564","14,628,830",121,0,8,66,109,09/16/21
,Ava Max,"4,563,491,663","178,481,720",95,1,11,32,65,10/26/21
,Manuel Turizo,"4,561,050,167","1,972,111,153",56,0,15,40,56,10/12/21
,Marília Mendonça,"4,534,734,379","1,163,206,310",112,0,12,79,101,10/25/21
,Luke Combs,"4,503,847,693","122,702,931",55,0,10,53,55,09/20/21
,System Of A Down,"4,473,086,419","415,124",83,0,9,67,78,10/26/21
,Jack Johnson,"4,464,351,377","26,277,507",180,0,6,76,164,10/01/21
,Muse,"4,455,655,051",0,242,0,10,81,175,10/22/21
,Elvis Presley,"4,450,478,560","4,944,379","2,158",0,8,67,345,10/22/21
,Radiohead,"4,447,073,294","1,587,812",221,0,6,85,195,10/18/21
,The Neighbourhood,"4,437,489,439","320,051",90,1,7,60,89,09/29/21
,Polo G,"4,416,313,925","1,161,988,394",60,0,11,58,60,10/18/21
,Roddy Ricch,"4,406,550,774","2,685,470,499",39,1,12,31,38,09/20/21
,Bazzi,"4,391,026,336","58,360,988",37,0,12,32,37,10/08/21
,Hailee Steinfeld,"4,390,178,914","592,323,092",29,0,10,18,27,10/20/21
,Swae Lee,"4,373,135,949","4,988,467,269",57,1,10,29,54,09/22/21
,Snoop Dogg,"4,353,041,177","5,261,975,222",686,0,9,54,243,10/08/21
,The Notorious B.I.G.,"4,346,420,469","569,759,727",153,0,10,50,109,10/24/21
,Jorge & Mateus,"4,324,297,522","956,104,294",253,0,8,87,239,10/20/21
,Jhay Cortez,"4,314,937,928","651,220,413",77,1,7,38,74,10/26/21
,Jess Glynne,"4,272,116,082","450,111,397",83,0,10,32,60,10/15/21
,Paramore,"4,229,680,694",0,113,0,9,66,99,10/26/21
,Cheat Codes,"4,227,024,364","277,260,117",141,0,7,38,84,10/23/21
,The Kid LAROI,"4,224,777,617","603,174,787",48,0,12,37,46,10/25/21
,Felix Jaehn,"4,220,719,529","227,877,670",156,1,11,33,88,09/04/21
,Frank Sinatra,"4,203,662,945","54,954,665","1,860",0,9,69,299,06/25/21
,Troye Sivan,"4,188,590,220","778,759,930",100,0,10,51,82,10/22/21
,Joji,"4,184,959,982","597,650,268",50,0,13,40,50,10/14/21
,Disclosure,"4,184,709,087","23,287,083",181,0,7,52,119,10/18/21
,Fifth Harmony,"4,172,298,096","245,961,734",75,1,7,46,74,10/25/21
,Julia Michaels,"4,167,842,016","1,499,927,798",64,0,7,34,61,10/22/21
,Christina Aguilera,"4,159,271,147","2,227,733,017",264,0,8,51,158,10/03/21
,Oasis,"4,153,515,411",0,220,1,6,47,170,10/25/21
,Slipknot,"4,143,831,674",0,205,0,7,64,172,10/19/21
,Don Omar,"4,130,968,373","1,636,264,718",229,0,12,49,116,10/15/21
,Bon Jovi,"4,102,294,311","1,227,367",322,0,9,35,172,10/26/21
,Chance the Rapper,"4,086,189,331","3,879,522,975",101,0,11,46,84,10/11/21
,Florida Georgia Line,"4,075,078,150","2,231,147,781",113,0,12,64,97,09/25/21
,Dalex,"4,055,219,773","1,148,930,463",110,0,11,42,85,10/17/21
,Tame Impala,"4,041,219,572","135,563,404",94,0,8,55,82,10/18/21
,Tove Lo,"4,038,233,092","1,266,147,479",135,0,6,58,103,10/24/21
,Alicia Keys,"3,998,762,725","1,118,372,033",223,0,7,53,161,10/26/21
,The Lumineers,"3,983,713,331",0,72,0,8,47,66,09/23/21
,Kings of Leon,"3,983,550,315",0,121,0,5,64,106,09/06/21
,Luke Bryan,"3,976,979,274","367,135,310",158,0,12,62,130,09/16/21
,The Script,"3,976,071,334","1,281,985",94,0,7,50,84,10/17/21
,Zion & Lennox,"3,972,787,863","2,664,955,655",156,0,11,44,87,10/15/21
,Five Finger Death Punch,"3,970,173,481",0,136,0,8,88,132,10/09/21
,Melanie Martinez,"3,949,931,247","2,827,851",55,0,13,42,54,10/27/21
,Alesso,"3,931,582,409","155,730,188",113,0,9,36,84,10/23/21
,6LACK,"3,929,222,178","731,124,680",74,0,10,59,74,10/11/21
,Natti Natasha,"3,913,719,738","1,627,663,373",73,0,9,41,62,10/25/21
,Jason Mraz,"3,901,732,390","88,467,014",233,1,5,45,152,09/02/21
,Megan Thee Stallion,"3,898,422,693","880,735,199",94,0,10,40,74,10/27/21
,Florence + The Machine,"3,894,016,842","211,529",133,0,8,74,123,10/15/21
,Glee Cast,"3,863,044,030",0,723,0,0,89,596,09/24/21
,Lil Pump,"3,857,197,872","466,916,581",54,0,10,38,53,10/23/21
,Christian Nodal,"3,853,792,612","295,574,117",58,0,11,47,58,10/20/21
,Galantis,"3,848,020,699","72,466,143",224,0,8,45,142,10/25/21
,Paulo Londra,"3,846,823,034","90,685,530",28,0,12,28,28,07/05/21
,Nickelback,"3,809,175,661",0,148,0,12,53,104,10/18/21
,Justin Quiles,"3,796,788,470","3,301,910,411",155,0,10,60,120,09/25/21
,Playboi Carti,"3,794,635,950","1,432,064,162",82,0,8,62,71,10/27/21
,Creedence Clearwater Revival,"3,782,765,839",0,131,0,8,32,105,10/13/21
,Bruce Springsteen,"3,779,676,273","31,928,542",769,0,9,50,368,10/20/21
,Madonna,"3,764,091,733","119,722,317",705,0,7,64,310,10/27/21
,Kehlani,"3,762,754,495","1,827,711,791",110,0,9,70,96,10/19/21
,Ne-Yo,"3,761,944,355","1,793,601,060",188,0,10,32,128,10/06/21
,Bryson Tiller,"3,738,686,164","1,721,468,453",61,0,7,47,59,10/24/21
,Whitney Houston,"3,736,199,752","11,031,150",291,0,7,35,137,10/26/21
,Rammstein,"3,731,710,963",0,228,0,9,73,169,10/23/21
,Capital Bra,"3,727,177,405","585,566,255",233,0,7,78,180,10/11/21
,Kane Brown,"3,722,088,164","22,813,517",91,0,9,52,82,10/17/21
,Niall Horan,"3,721,601,976","325,106,768",70,0,9,38,64,10/09/21
,Zé Neto & Cristiano,"3,712,875,164","420,683,112",162,0,10,71,137,10/20/21
,ABBA,"3,702,965,066","25,684",152,0,9,47,128,10/18/21
,Gusttavo Lima,"3,694,316,805","709,385,086",266,0,5,90,202,10/20/21
,Alok,"3,688,679,599","212,353,463",175,0,11,59,104,10/21/21
,Piso 21,"3,685,044,883","54,983,912",74,0,11,27,60,05/26/21
,My Chemical Romance,"3,675,537,307",0,135,0,8,52,114,10/19/21
,Arcangel,"3,641,806,324","4,163,519,474",273,0,7,54,178,10/12/21
,NAV,"3,636,987,090","1,740,497,767",113,0,10,67,113,10/27/21
,Morat,"3,612,911,625","342,122,900",70,0,7,55,66,10/26/21
,Lenny Tavárez,"3,602,268,753","2,986,366,334",84,0,9,42,78,10/19/21
,Bring Me The Horizon,"3,598,615,867","637,221",134,0,10,62,121,10/19/21
,James Bay,"3,594,179,080","3,910,938",75,0,7,40,66,10/14/21
,Thomas Rhett,"3,570,841,348","196,189,924",93,0,13,50,93,09/28/21
,Labrinth,"3,567,683,826","326,316,513",125,0,10,37,90,06/03/21
,Vance Joy,"3,560,343,487",0,69,1,6,34,53,10/07/21
,YG,"3,551,013,571","2,246,418,959",194,0,8,63,130,09/03/21
,Henrique & Juliano,"3,549,520,949","688,545,267",148,0,8,93,141,08/31/21
,Jonas Brothers,"3,530,341,248","456,924,413",93,0,8,35,86,09/22/21
,Kelly Clarkson,"3,522,560,159","193,380,308",322,0,8,40,138,10/27/21
,Wisin,"3,520,148,199","4,992,869,607",114,0,10,38,95,10/12/21
,Disturbed,"3,507,099,735","1,976,285",170,0,6,65,144,09/16/21
,Aerosmith,"3,500,995,544",0,281,0,8,29,146,10/20/21
,Kevin Gates,"3,495,948,086","546,381,469",266,0,4,92,206,05/07/21
,Jennifer Lopez,"3,492,249,241","960,084,793",227,0,8,46,117,10/26/21
,Ryan Lewis,"3,486,320,761",0,33,1,6,28,32,06/04/21
,Avril Lavigne,"3,481,708,412","18,272,625",133,0,9,51,100,10/26/21
,Flume,"3,477,893,543","72,525,427",125,0,7,51,117,09/07/21
,Lil Skies,"3,445,093,149","709,788,156",51,0,7,44,51,10/18/21
,Amy Winehouse,"3,433,255,885","211,101,801",157,0,7,50,90,10/26/21
,Stevie Wonder,"3,396,794,575","233,950,935",582,0,8,45,147,08/29/21
,Tones And I,"3,391,620,905",0,29,1,4,13,18,10/15/21
,TWICE,"3,390,358,761","27,165,014",177,0,9,67,156,10/26/21
,Miguel,"3,369,113,836","1,902,566,777",136,0,5,46,109,09/03/21
,Hans Zimmer,"3,368,679,488","70,151,456","1,422",0,3,72,475,09/26/21
,Backstreet Boys,"3,342,219,888","160,510,228",133,0,8,38,123,10/26/21
,YNW Melly,"3,330,592,777","301,701,697",80,0,9,31,76,09/14/21
,Alejandro Fernández,"3,328,449,536","266,300,006",289,0,6,62,211,08/05/21
,Morgan Wallen,"3,326,026,761","332,071,191",56,0,10,55,56,10/20/21
,Fetty Wap,"3,321,899,161","1,492,928,236",118,0,7,36,69,01/07/21
,Sean Paul,"3,304,701,344","3,146,217,843",373,0,10,36,128,01/05/21
,Maná,"3,282,870,220","42,453,047",213,0,10,49,145,10/01/21
,Wisin & Yandel,"3,270,926,458","899,916,309",288,0,10,47,130,10/11/21
,Kesha,"3,266,045,467","1,655,107,054",138,0,8,38,102,10/26/21
,Yandel,"3,252,007,610","2,319,895,199",173,0,8,51,140,09/28/21
,Steve Aoki,"3,228,090,914","1,297,146,988",389,0,6,60,202,10/17/21
,Jeremih,"3,211,536,876","2,897,368,856",123,0,8,33,91,09/19/21
,Dr. Dre,"3,198,481,391","1,794,542,559",85,0,7,29,77,08/26/21
,Prince Royce,"3,197,914,038","1,250,251,740",122,0,8,52,112,10/10/21
,Lil Tjay,"3,187,332,730","1,505,787,230",61,0,8,44,60,10/27/21
,Three Days Grace,"3,181,987,439","589,876",84,0,8,55,82,10/26/21
,Phil Collins,"3,161,779,013","96,322,815",336,0,8,35,141,09/30/21
,Jason Aldean,"3,160,575,778","130,809,620",137,0,8,58,132,09/16/21
,Why Don't We,"3,153,762,831","86,038,587",92,0,10,53,82,08/08/21
,Seeb,"3,148,225,045","13,599,416",85,1,6,24,56,01/04/21
,Lil Tecca,"3,144,962,075","232,001,931",72,0,7,34,68,10/13/21
,Akon,"3,138,818,995","2,853,016,803",200,0,8,34,111,10/26/21
,Lil Mosey,"3,135,692,727","405,632,040",44,0,5,33,44,10/26/21
,George Ezra,"3,134,491,990","35,557",59,0,6,34,52,09/03/21
,Dan + Shay,"3,122,596,000","22,294,018",71,0,7,39,63,09/23/21
,Wesley Safadão,"3,121,201,802","555,937,674",267,0,4,54,244,10/18/21
,Jessie J,"3,107,842,052","57,987,616",119,0,6,32,95,10/22/21
,Billy Joel,"3,105,424,953","7,566,488",408,0,9,35,131,09/21/21
,Eagles,"3,104,628,533",0,193,0,5,36,114,10/13/21
